# Taxa,Serial,2 processes,4 processes,8 processes
10,4m4.250s,2m27.216s,1m3.066s,1m44.541s
10,2m26.786s,1m18.177s,0m46.267s,0m24.800s
10,1m46.959s,1m37.476s,0m55.537s,0m38.492s
10,2m13.559s,1m6.721s,0m37.409s,0m24.966s
10,2m13.881s,1m5.161s,0m42.064s,0m24.664s
10,2m15.279s,1m28.954s,0m38.279s,0m24.746s
10,1m45.639s,1m37.454s,0m56.157s,0m33.150s
10,1m41.560s,0m48.836s,0m28.264s,0m19.255s
12,6m33.418s,3m25.871s,1m47.710s,1m37.399s
12,6m44.624s,3m7.713s,1m50.388s,1m10.486s
12,7m58.950s,3m58.997s,2m12.224s,1m14.981s
12,6m34.133s,3m17.200s,1m51.529s,1m7.193s
12,4m48.776s,4m14.904s,2m21.564s,1m20.323s
12,8m58.282s,4m35.984s,2m21.931s,1m28.025s
20,90m3.015s,46m52.600s,23m57.031s,13m40.605s
20,43m23.187s,41m45.143s,24m45.940s,12m1.224s
20,89m16.966s,47m9.786s,25m23.187s,14m36.996s
20,71m39.501s,37m59.708s,20m5.767s,10m54.880s
